unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1632942000000,2021-09-29 19:00:00,ETH/USDT,2816.52,2830.80,2803.04,2808.87,50072.736,140971490.06856,77919
1632938400000,2021-09-29 18:00:00,ETH/USDT,2812.88,2831.53,2801.00,2816.52,94420.788,265889146.22850,119586
1632934800000,2021-09-29 17:00:00,ETH/USDT,2843.03,2850.96,2810.51,2812.88,83673.290,236894021.12577,107380
1632931200000,2021-09-29 16:00:00,ETH/USDT,2860.24,2871.18,2835.00,2843.03,111207.803,317149791.44436,130453
1632927600000,2021-09-29 15:00:00,ETH/USDT,2923.47,2931.88,2850.18,2860.34,156777.249,452267617.16723,169261
1632924000000,2021-09-29 14:00:00,ETH/USDT,2916.57,2932.32,2911.00,2923.47,62899.988,183693787.94000,87045
1632920400000,2021-09-29 13:00:00,ETH/USDT,2908.97,2924.86,2893.60,2916.53,89426.842,260129059.15043,116744
1632916800000,2021-09-29 12:00:00,ETH/USDT,2931.54,2948.22,2891.54,2908.89,113525.565,331327989.91171,139586
1632913200000,2021-09-29 11:00:00,ETH/USDT,2926.52,2937.24,2913.27,2931.46,50434.958,147412012.35139,75371
1632909600000,2021-09-29 10:00:00,ETH/USDT,2909.44,2949.00,2906.05,2926.57,104120.544,305130822.57611,138641
1632906000000,2021-09-29 09:00:00,ETH/USDT,2916.35,2916.36,2893.33,2909.45,60035.314,174220238.62525,80852
1632902400000,2021-09-29 08:00:00,ETH/USDT,2922.24,2928.01,2905.30,2916.36,39530.945,115234098.05115,64323
1632898800000,2021-09-29 07:00:00,ETH/USDT,2926.43,2929.06,2912.63,2922.38,28986.577,84662337.15800,51676
1632895200000,2021-09-29 06:00:00,ETH/USDT,2908.61,2930.00,2898.26,2926.44,52068.290,151653178.31745,74880
1632891600000,2021-09-29 05:00:00,ETH/USDT,2906.50,2916.04,2887.43,2908.61,61092.624,177246888.78775,77796
1632888000000,2021-09-29 04:00:00,ETH/USDT,2895.49,2933.00,2888.31,2906.50,96277.540,280316053.78289,121904
1632884400000,2021-09-29 03:00:00,ETH/USDT,2865.93,2900.00,2851.00,2895.49,74263.620,213599628.75716,100450
